time,open,high,low,close,Volume,Volume MA
2021-03-17T17:00:00-07:00,1.6551,1.88,1.2155,1.23,112384640.88474996,NaN
2021-03-18T17:00:00-07:00,1.2311,1.396,1.1808,1.3076,166658507.56438997,NaN
2021-03-19T17:00:00-07:00,1.3065,1.345,1.2001,1.2013,121442030.53439976,NaN
2021-03-20T17:00:00-07:00,1.2013,1.2463,1.1607,1.1885,55592643.08440005,NaN
2021-03-21T17:00:00-07:00,1.1885,1.2076,1.07,1.1027,80249981.55439997,NaN
2021-03-22T17:00:00-07:00,1.1027,1.1742,1.082,1.1178,63714627.99439989,NaN
2021-03-23T17:00:00-07:00,1.1175,1.1686,1.04,1.0674,60465685.89439992,NaN
2021-03-24T17:00:00-07:00,1.0691,1.1547,1.0442,1.0963,74708052.98439997,NaN
2021-03-25T17:00:00-07:00,1.0963,1.2869,1.0944,1.2144,73745757.08439995,NaN
2021-03-26T17:00:00-07:00,1.2149,1.2415,1.1575,1.1768,47923717.63440005,NaN
2021-03-27T17:00:00-07:00,1.1775,1.2188,1.1666,1.1903,39099166.74439999,NaN
2021-03-28T17:00:00-07:00,1.1904,1.2294,1.1777,1.2032,43471602.21440003,NaN
2021-03-29T17:00:00-07:00,1.2032,1.2365,1.1888,1.2135,45176667.12439992,NaN
2021-03-30T17:00:00-07:00,1.2135,1.2138,1.1526,1.1934,46011378.94439992,NaN
2021-03-31T17:00:00-07:00,1.1926,1.2079,1.171,1.1842,36842053.174399994,NaN
2021-04-01T17:00:00-07:00,1.1842,1.245,1.18,1.1908,45706769.97439999,NaN
2021-04-02T17:00:00-07:00,1.1908,1.2413,1.1605,1.1637,51681666.92439994,NaN
2021-04-03T17:00:00-07:00,1.1639,1.1941,1.1521,1.1817,25801716.374400012,NaN
2021-04-04T17:00:00-07:00,1.1823,1.2263,1.1608,1.2123,43263805.67440006,NaN
2021-04-05T17:00:00-07:00,1.2124,1.3423,1.1913,1.2566,91644956.19439991,66279271.427916944
2021-04-06T17:00:00-07:00,1.2578,1.2909,1.1601,1.1745,60930156.16439994,63706547.19189944
2021-04-07T17:00:00-07:00,1.1745,1.2289,1.1703,1.2195,34901097.70439999,57118676.69889995
2021-04-08T17:00:00-07:00,1.219,1.2299,1.1922,1.2027,36252890.20440005,52859219.682399966
2021-04-09T17:00:00-07:00,1.2027,1.2516,1.195,1.2176,43156667.16439993,52237420.88639996
