time,open,high,low,close,Volume,Volume MA
2020-12-24T16:00:00-08:00,4.958,5.053,4.751,4.911,392634.21299,498698.15340950043
2020-12-25T16:00:00-08:00,4.912,4.964,4.728,4.806,332257.31234,505230.7784175005
2020-12-26T16:00:00-08:00,4.812,5.024,4.549,4.841,551268.91325,522589.99849050044
2020-12-27T16:00:00-08:00,4.852,5.569,4.788,5.384,897919.91341,548462.7635085004
2020-12-28T16:00:00-08:00,5.378,5.695,5.029,5.62,1688758.21427999,607735.5835599999
2020-12-29T16:00:00-08:00,5.621,5.775,5.386,5.432,1343012.91417999,662676.0536284995
2020-12-30T16:00:00-08:00,5.43,6.515,5.247,6.485,2092805.31424999,731793.5836629991
2020-12-31T16:00:00-08:00,6.485,6.521,5.657,5.879,1794169.51424999,792887.2987004985
2021-01-01T16:00:00-08:00,5.876,5.897,5.25,5.422,1658314.51422999,837850.608701998
2021-01-02T16:00:00-08:00,5.419,5.917,5.282,5.842,1393017.21418999,884066.2187329975
2021-01-03T16:00:00-08:00,5.845,6.29,5.268,6.042,2536775.31436999,991434.513796997
2021-01-04T16:00:00-08:00,6.061,6.397,5.646,6.212,1743770.41432,1044865.698823497
2021-01-05T16:00:00-08:00,6.212,6.978,5.88,6.697,1862670.21428999,1108817.8238329967
2021-01-06T16:00:00-08:00,6.708,6.868,5.982,6.262,1826538.21439999,1179946.2738599959
2021-01-07T16:00:00-08:00,6.279,6.351,5.673,5.942,1573560.1144,1234600.3538934959
2021-01-08T16:00:00-08:00,5.94,6.739,5.823,6.576,1708841.01436,1296177.5889259959
2021-01-09T16:00:00-08:00,6.571,7.168,5.9,6.42,2141456.21439999,1376450.5389464954
2021-01-10T16:00:00-08:00,6.409,6.436,4.989,5.734,1820429.21434999,1442179.9439874948
2021-01-11T16:00:00-08:00,5.723,6.148,5.501,5.707,1376508.51418999,1468960.4890099943
2021-01-12T16:00:00-08:00,5.713,6.25,5.529,6.245,673036.81396,1470387.2040204941
2021-01-13T16:00:00-08:00,6.246,6.588,6.131,6.478,908901.41426,1496200.5640839941
2021-01-14T16:00:00-08:00,6.468,8.472,6.437,7.907,6847509.51439997,1821963.1741869927
2021-01-15T16:00:00-08:00,7.911,9.607,7.549,9.044,3461049.31439999,1967452.194244492
2021-01-16T16:00:00-08:00,9.022,9.206,7.987,8.536,2184228.11439999,2031767.6042939916
2021-01-17T16:00:00-08:00,8.531,9.836,8.52,9.551,2318659.31439998,2063262.6592999913
2021-01-18T16:00:00-08:00,9.551,10.183,8.831,8.901,2249579.21439998,2108590.974310991
2021-01-19T16:00:00-08:00,8.908,9.517,7.98,8.911,1829271.41434999,2095414.2793159906
2021-01-20T16:00:00-08:00,8.915,8.957,7.067,7.165,1521531.91437999,2081782.3993224907
2021-01-21T16:00:00-08:00,7.179,8.494,6.6,7.991,1644239.01439999,2081078.6243309907
2021-01-22T16:00:00-08:00,7.998,8.688,7.848,8.337,1136246.01436,2068240.0643394913
2021-01-23T16:00:00-08:00,8.337,8.791,7.882,8.251,1046720.31431,1993737.3143364917
2021-01-24T16:00:00-08:00,8.253,8.55,7.674,7.746,1030231.01435,1958060.3443379917
2021-01-25T16:00:00-08:00,7.73,7.959,7.377,7.73,710061.61418,1900429.9143324918
2021-01-26T16:00:00-08:00,7.738,7.759,6.776,6.973,1083718.61435,1863288.9343299922
2021-01-27T16:00:00-08:00,6.975,8.52,6.824,8.056,1878921.41430999,1878556.999325492
2021-01-28T16:00:00-08:00,8.072,8.53,7.697,7.989,1433311.6142,1864780.529317492
2021-01-29T16:00:00-08:00,7.99,8.31,7.755,8.07,902307.41436,1802823.0893154922
2021-01-30T16:00:00-08:00,8.06,8.89,7.702,8.164,1722942.21439999,1797948.7393179922
2021-01-31T16:00:00-08:00,8.158,9.294,7.841,9.289,2111967.6144,1834721.694328493
2021-02-01T16:00:00-08:00,9.289,9.33,8.72,8.904,1579602.41439999,1880049.9743504922
2021-02-02T16:00:00-08:00,8.904,9.447,8.766,9.322,1529943.7144,1911102.0893574923
2021-02-03T16:00:00-08:00,9.323,9.519,8.659,9.166,1991044.41439999,1668278.8343574933
2021-02-04T16:00:00-08:00,9.162,13,9.028,12.225,4318884.61439999,1711170.5993574932
2021-02-05T16:00:00-08:00,12.228,13.674,11.27,12.094,4115890.11439997,1807753.6993574922
2021-02-06T16:00:00-08:00,12.098,14,11.469,13.86,3660292.61439998,1874835.364357492
2021-02-07T16:00:00-08:00,13.878,15.05,13.283,14.194,3518398.71439999,1938276.3393574927
2021-02-08T16:00:00-08:00,14.193,15.5,13.8,15.081,2306881.61439999,1962156.849359993
2021-02-09T16:00:00-08:00,15.089,15.48,13.56,14.982,2191253.51439999,1995642.9293609927
2021-02-10T16:00:00-08:00,14.975,18.391,14.801,17.664,3075881.41439999,2067225.0493609929
2021-02-11T16:00:00-08:00,17.655,22.238,17.229,21.139,4888289.41439999,2254827.219362992
2021-02-12T16:00:00-08:00,21.132,22.119,19.174,20.275,2572699.01439999,2331126.1543674916
2021-02-13T16:00:00-08:00,20.278,20.718,18.51,19.131,2028941.6144,2381061.6843699915
2021-02-14T16:00:00-08:00,19.14,24.99,14.794,22.495,7468506.11439998,2718983.9093809905
2021-02-15T16:00:00-08:00,22.517,26.688,22.26,25.097,6121307.61439997,2970863.359383489
2021-02-16T16:00:00-08:00,25.084,25.876,22.485,23.881,3099605.41439998,3031897.5593879884
2021-02-17T16:00:00-08:00,23.881,24.97,22.756,23.045,2285738.21439998,3074518.889397987
2021-02-18T16:00:00-08:00,23.046,23.5,21.414,22.889,1814609.81439999,3120134.009399987
2021-02-19T16:00:00-08:00,22.891,24.5,20.5,21.601,2830747.71439999,3175524.2843999867
2021-02-20T16:00:00-08:00,21.582,22.647,20.834,21.633,1601148.21438999,3149983.314399486
2021-02-21T16:00:00-08:00,21.615,21.7,16.251,21.153,3404969.11439998,3241251.6493994854
2021-02-22T16:00:00-08:00,21.151,23.907,15.168,20.172,6681919.31439998,3498850.4293994843
2021-02-23T16:00:00-08:00,20.14,21.37,18.8,19.537,2091180.81439999,3503857.249399484
2021-02-24T16:00:00-08:00,19.546,20.6,17.554,17.732,1615275.4144,3368676.7893994846
2021-02-25T16:00:00-08:00,17.793,18.99,16.118,18.865,2421303.61439999,3283947.464399486
2021-02-26T16:00:00-08:00,18.856,20.957,18.608,19.179,1976709.91439999,3199768.329399486
2021-02-27T16:00:00-08:00,19.17,19.262,16.51,17.671,1676001.3144,3107648.459399487
2021-02-28T16:00:00-08:00,17.671,18.903,17.529,18.709,1352123.7144,3059910.5643994873
2021-03-01T16:00:00-08:00,18.709,20.5,18.006,18.874,1969145.81439999,3048805.179399487
2021-03-02T16:00:00-08:00,18.882,22.14,18.585,21.41,2503031.51439999,3020162.684399487
2021-03-03T16:00:00-08:00,21.43,21.849,18.143,18.835,2428822.51439999,2897189.3393994872
