time,open,high,low,close,Volume,Volume MA
2021-04-19T17:00:00-07:00,1.416,1.5,1.35,1.402,7602922.144589998,NaN
2021-04-20T17:00:00-07:00,1.407,1.465,1.3,1.33,11443716.814400006,NaN
2021-04-21T17:00:00-07:00,1.332,1.41,1.159,1.248,13517667.044369983,NaN
2021-04-22T17:00:00-07:00,1.246,1.269,0.956,1.24,18419066.684400037,NaN
2021-04-23T17:00:00-07:00,1.241,1.241,1.096,1.106,5786115.554339984,NaN
2021-04-24T17:00:00-07:00,1.108,1.189,1.026,1.098,8054091.814139998,NaN
2021-04-25T17:00:00-07:00,1.095,1.254,1.084,1.229,9540180.914369993,NaN
2021-04-26T17:00:00-07:00,1.229,1.38,1.209,1.312,9425159.734300006,NaN
2021-04-27T17:00:00-07:00,1.312,1.569,1.281,1.551,20475966.324370023,NaN
2021-04-28T17:00:00-07:00,1.551,1.557,1.365,1.46,14605494.494380007,NaN
2021-04-29T17:00:00-07:00,1.46,1.507,1.398,1.488,8464161.264389986,NaN
2021-04-30T17:00:00-07:00,1.491,1.502,1.411,1.463,6759270.954319992,NaN
2021-05-01T17:00:00-07:00,1.463,1.466,1.382,1.411,4274017.59389001,NaN
2021-05-02T17:00:00-07:00,1.411,1.485,1.39,1.406,8100561.674369986,NaN
2021-05-03T17:00:00-07:00,1.406,1.406,1.239,1.266,13089724.164380012,NaN
2021-05-04T17:00:00-07:00,1.266,1.427,1.259,1.423,12574915.314380009,NaN
2021-05-05T17:00:00-07:00,1.42,1.579,1.347,1.571,17831664.144379992,NaN
2021-05-06T17:00:00-07:00,1.571,1.61,1.408,1.465,19523384.394349962,NaN
2021-05-07T17:00:00-07:00,1.469,1.515,1.415,1.447,6898720.654309995,NaN
2021-05-08T17:00:00-07:00,1.445,1.522,1.357,1.49,10374224.39439,11338051.303840999
2021-05-09T17:00:00-07:00,1.492,1.514,1.229,1.33,14194721.53438998,11667641.273330998
2021-05-10T17:00:00-07:00,1.327,1.435,1.301,1.429,8254449.51429999,11508177.908325996
2021-05-11T17:00:00-07:00,1.429,1.452,1.202,1.221,10027704.504360009,11333679.781325499
2021-05-12T17:00:00-07:00,1.221,1.35,1.15,1.253,11266067.404329984,10976029.817321997
2021-05-13T17:00:00-07:00,1.251,1.336,1.241,1.292,6372836.954339983,11005365.887321997
2021-05-14T17:00:00-07:00,1.295,1.31,1.196,1.203,8956817.25440001,11050502.159334999
2021-05-15T17:00:00-07:00,1.204,1.289,1.1,1.183,8403310.3443,10993658.630831499
2021-05-16T17:00:00-07:00,1.183,1.183,1.011,1.06,13500205.044379981,11197410.896335496
2021-05-17T17:00:00-07:00,1.061,1.266,1.049,1.127,18057589.20437002,11076492.040335495
2021-05-18T17:00:00-07:00,1.126,1.168,0.487,0.774,40831162.154399954,12387775.423336495
2021-05-19T17:00:00-07:00,0.771,1.031,0.683,0.958,18947714.1644,12911953.068336995
2021-05-20T17:00:00-07:00,0.958,1.011,0.697,0.82,17593812.604370013,13453680.150839496
